id,lat,long,id_2,lat_2,long_2,id_total,type
"0","44.9447288600","-122.0107700000","82","46.0301211400","-118.5919460000","082","2"
"0","44.9447288600","-122.0107700000","77","42.0997822800","-120.5822510000","077","2"
"0","44.9447288600","-122.0107700000","76","42.8287230400","-121.0918240000","076","2"
"0","44.9447288600","-122.0107700000","16","46.2628318100","-120.3687730000","016","2"
"0","44.9447288600","-122.0107700000","15","45.8918119500","-120.4587170000","015","3"
"0","44.9447288600","-122.0107700000","13","47.0554651700","-119.0617710000","013","2"
"0","44.9447288600","-122.0107700000","12","46.7519034600","-118.3084880000","012","2"
"0","44.9447288600","-122.0107700000","6","45.6964643600","-116.5334950000","06","2"
"0","44.9447288600","-122.0107700000","4","45.2157732700","-119.2046090000","04","2"
"0","44.9447288600","-122.0107700000","3","45.6572601200","-118.7926950000","03","2"
"0","44.9447288600","-122.0107700000","1","44.3334596900","-121.1333410000","01","2"
"0","44.9447288600","-122.0107700000","0","44.9447288600","-122.0107700000","00","3"
"1","44.3334596900","-121.1333410000","82","46.0301211400","-118.5919460000","182","2"
"1","44.3334596900","-121.1333410000","77","42.0997822800","-120.5822510000","177","2"
"1","44.3334596900","-121.1333410000","76","42.8287230400","-121.0918240000","176","2"
"1","44.3334596900","-121.1333410000","16","46.2628318100","-120.3687730000","116","3"
"1","44.3334596900","-121.1333410000","15","45.8918119500","-120.4587170000","115","2"
"1","44.3334596900","-121.1333410000","13","47.0554651700","-119.0617710000","113","2"
"1","44.3334596900","-121.1333410000","12","46.7519034600","-118.3084880000","112","2"
"1","44.3334596900","-121.1333410000","6","45.6964643600","-116.5334950000","16","2"
"1","44.3334596900","-121.1333410000","4","45.2157732700","-119.2046090000","14","2"
"1","44.3334596900","-121.1333410000","3","45.6572601200","-118.7926950000","13","2"
"1","44.3334596900","-121.1333410000","1","44.3334596900","-121.1333410000","11","3"
"1","44.3334596900","-121.1333410000","0","44.9447288600","-122.0107700000","10","2"
"2","43.9384451400","-122.5866570000","91","44.6607098300","-122.7527470000","291","3"
"2","43.9384451400","-122.5866570000","64","43.4479799100","-123.2398000000","264","3"
"2","43.9384451400","-122.5866570000","63","44.0946577600","-123.1621080000","263","3"
"2","43.9384451400","-122.5866570000","62","44.4214243000","-123.1072660000","262","3"
"2","43.9384451400","-122.5866570000","61","44.6979190700","-123.2877870000","261","3"
"2","43.9384451400","-122.5866570000","55","45.0658170700","-123.2375150000","255","3"
"2","43.9384451400","-122.5866570000","54","45.2806146600","-123.2992120000","254","3"
"2","43.9384451400","-122.5866570000","53","44.8167432700","-122.7325120000","253","3"
"2","43.9384451400","-122.5866570000","2","43.9384451400","-122.5866570000","22","3"
"3","45.6572601200","-118.7926950000","82","46.0301211400","-118.5919460000","382","3"
"3","45.6572601200","-118.7926950000","77","42.0997822800","-120.5822510000","377","2"
"3","45.6572601200","-118.7926950000","76","42.8287230400","-121.0918240000","376","2"
"3","45.6572601200","-118.7926950000","16","46.2628318100","-120.3687730000","316","2"
"3","45.6572601200","-118.7926950000","15","45.8918119500","-120.4587170000","315","2"
"3","45.6572601200","-118.7926950000","13","47.0554651700","-119.0617710000","313","2"
"3","45.6572601200","-118.7926950000","12","46.7519034600","-118.3084880000","312","2"
"3","45.6572601200","-118.7926950000","6","45.6964643600","-116.5334950000","36","2"
"3","45.6572601200","-118.7926950000","4","45.2157732700","-119.2046090000","34","3"
"3","45.6572601200","-118.7926950000","3","45.6572601200","-118.7926950000","33","3"
"3","45.6572601200","-118.7926950000","1","44.3334596900","-121.1333410000","31","2"
"3","45.6572601200","-118.7926950000","0","44.9447288600","-122.0107700000","30","2"
"4","45.2157732700","-119.2046090000","82","46.0301211400","-118.5919460000","482","3"
"4","45.2157732700","-119.2046090000","77","42.0997822800","-120.5822510000","477","2"
"4","45.2157732700","-119.2046090000","76","42.8287230400","-121.0918240000","476","2"
"4","45.2157732700","-119.2046090000","16","46.2628318100","-120.3687730000","416","2"
"4","45.2157732700","-119.2046090000","15","45.8918119500","-120.4587170000","415","2"
"4","45.2157732700","-119.2046090000","13","47.0554651700","-119.0617710000","413","2"
"4","45.2157732700","-119.2046090000","12","46.7519034600","-118.3084880000","412","2"
"4","45.2157732700","-119.2046090000","6","45.6964643600","-116.5334950000","46","2"
"4","45.2157732700","-119.2046090000","4","45.2157732700","-119.2046090000","44","3"
