id,lat,long,id_2,lat_2,long_2,layer,path,id_total,type
"28","47.4552952900","-122.1866290000","25","47.5874008500","-121.4825350000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","2825","3"
"28","47.4552952900","-122.1866290000","24","47.8502065900","-121.9210130000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","2824","3"
"28","47.4552952900","-122.1866290000","22","48.3139814300","-122.0222000000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","2822","3"
"42","46.1412665900","-123.9236770000","41","46.2396430700","-122.0994960000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","4241","1"
"42","46.1412665900","-123.9236770000","34","47.3850263800","-124.0754580000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","4234","1"
"42","46.1412665900","-123.9236770000","33","47.6970203600","-124.3340470000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","4233","1"
"64","43.4479799100","-123.2398000000","75","42.1112076900","-122.8102050000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","6475","1"
"64","43.4479799100","-123.2398000000","74","41.9832431700","-124.0624290000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","6474","1"
"64","43.4479799100","-123.2398000000","73","42.1706197900","-123.9436050000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","6473","1"
"64","43.4479799100","-123.2398000000","70","42.5453730300","-123.5962730000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","6470","1"
"64","43.4479799100","-123.2398000000","67","42.5956448000","-124.3252140000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","6467","1"
"64","43.4479799100","-123.2398000000","65","43.7016238700","-123.8796230000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","6465","1"
"64","43.4479799100","-123.2398000000","59","44.4168541400","-123.8819080000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","6459","1"
"64","43.4479799100","-123.2398000000","58","44.5745247100","-123.7767940000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","6458","1"
