target,source,flow,source_lat,source_lon,target_lat,target_lon
53063,1001,8,32.5351,-86.6429,47.6207,-117.404
41007,1003,1,30.7278,-87.7227,45.9948,-123.6562
41057,1003,1,30.7278,-87.7227,45.4634,-123.7128
41059,1003,1,30.7278,-87.7227,45.5916,-118.7366
16039,1003,15,30.7278,-87.7227,43.3538,-115.4695
53017,1003,16,30.7278,-87.7227,47.7363,-119.6915
53053,1003,39,30.7278,-87.7227,47.0267,-122.1116
16001,1007,17,32.9984,-87.1268,43.4508,-116.2413
41047,1015,98,33.7715,-85.8259,44.9032,-122.5846
53005,1015,22,33.7715,-85.8259,46.2396,-119.5112
41051,1017,4,32.9137,-85.3917,45.5465,-122.4147
16055,1019,43,34.1759,-85.6039,47.6743,-116.7018
53033,1031,15,31.4019,-85.9883,47.49,-121.8065
53053,1031,93,31.4019,-85.9883,47.0267,-122.1116
53055,1031,17,31.4019,-85.9883,48.5786,-122.9535
41047,1045,7,31.4317,-85.6111,44.9032,-122.5846
16041,1045,3,31.4317,-85.6111,42.1812,-111.8132
16045,1045,49,31.4317,-85.6111,44.0606,-116.3981
53053,1045,68,31.4317,-85.6111,47.0267,-122.1116
53061,1045,23,31.4317,-85.6111,48.0476,-121.6979
53033,1047,7,32.3261,-87.1065,47.49,-121.8065
53033,1053,12,31.1262,-87.1618,47.49,-121.8065
16065,1069,28,31.1534,-85.3023,43.7843,-111.6604
53035,1069,29,31.1534,-85.3023,47.6134,-122.6734
41003,1073,7,33.5543,-86.897,44.4917,-123.4285
41033,1073,79,33.5543,-86.897,42.3652,-123.5556
41051,1073,13,33.5543,-86.897,45.5465,-122.4147
16017,1073,49,33.5543,-86.897,48.3001,-116.6014
16039,1073,2,33.5543,-86.897,43.3538,-115.4695
16057,1073,15,33.5543,-86.897,46.8156,-116.7116
53033,1073,19,33.5543,-86.897,47.49,-121.8065
53035,1073,10,33.5543,-86.897,47.6134,-122.6734
53053,1073,31,33.5543,-86.897,47.0267,-122.1116
53061,1073,14,33.5543,-86.897,48.0476,-121.6979
53063,1073,13,33.5543,-86.897,47.6207,-117.404
53067,1073,67,33.5543,-86.897,46.9268,-122.8328
53033,1081,40,32.6011,-85.3552,47.49,-121.8065
53053,1081,89,32.6011,-85.3552,47.0267,-122.1116
41033,1083,28,34.8101,-86.9821,42.3652,-123.5556
41067,1083,18,34.8101,-86.9821,45.5598,-123.0983
53067,1083,13,34.8101,-86.9821,46.9268,-122.8328
41029,1089,18,34.7629,-86.5506,42.4321,-122.7283
16027,1089,26,34.7629,-86.5506,43.6249,-116.7093
53033,1089,64,34.7629,-86.5506,47.49,-121.8065
53041,1089,31,34.7629,-86.5506,46.5775,-122.3919
53053,1089,54,34.7629,-86.5506,47.0267,-122.1116
53061,1089,11,34.7629,-86.5506,48.0476,-121.6979
53063,1089,52,34.7629,-86.5506,47.6207,-117.404
53053,1095,21,34.367,-86.3061,47.0267,-122.1116
41007,1097,42,30.7791,-88.2066,45.9948,-123.6562
16039,1097,13,30.7791,-88.2066,43.3538,-115.4695
53053,1097,24,30.7791,-88.2066,47.0267,-122.1116
53063,1097,21,30.7791,-88.2066,47.6207,-117.404
53033,1099,8,31.5711,-87.3653,47.49,-121.8065
16083,1101,9,32.2209,-86.2079,42.3562,-114.6682
53053,1101,9,32.2209,-86.2079,47.0267,-122.1116
53055,1101,2,32.2209,-86.2079,48.5786,-122.9535
53061,1101,10,32.2209,-86.2079,48.0476,-121.6979
53061,1103,22,34.4533,-86.8533,48.0476,-121.6979
53041,1113,46,32.2881,-85.1843,46.5775,-122.3919
16039,1115,5,33.7153,-86.3151,43.3538,-115.4695
53017,1117,92,33.2641,-86.6614,47.7363,-119.6915
53033,1117,10,33.2641,-86.6614,47.49,-121.8065
53053,1121,4,33.3799,-86.1659,47.0267,-122.1116
41051,1125,117,33.2895,-87.5256,45.5465,-122.4147
53011,1125,31,33.2895,-87.5256,45.7793,-122.4826
53027,1125,5,33.2895,-87.5256,47.1498,-123.7732
53057,1125,28,33.2895,-87.5256,48.4795,-121.7327
53033,1127,7,33.8032,-87.2973,47.49,-121.8065
41019,1129,8,31.4076,-88.2082,43.2795,-123.1666
53061,1133,13,34.1496,-87.3734,48.0476,-121.6979
53057,2013,22,55.36,-161.9652,48.4795,-121.7327
53025,2016,41,52.7943,-110.2449,47.2056,-119.4516
53057,2016,17,52.7943,-110.2449,48.4795,-121.7327
53073,2016,16,52.7943,-110.2449,48.8256,-121.7206
53075,2016,41,52.7943,-110.2449,46.9013,-117.523
41003,2020,15,61.1504,-149.1125,44.4917,-123.4285
41005,2020,59,61.1504,-149.1125,45.1879,-122.2203
41007,2020,11,61.1504,-149.1125,45.9948,-123.6562
