target,source,flow,target_lat,target_lon,source_lat,source_lon
16001,1007,17.0,43.4508,-116.2413,32.9984,-87.1268
16001,1045,-12.0,43.4508,-116.2413,31.4317,-85.6111
16001,1123,-25.0,43.4508,-116.2413,32.8628,-85.7975
16001,2020,367.0,43.4508,-116.2413,61.1504,-149.1125
16001,2070,-4.0,43.4508,-116.2413,59.7983,-158.2142
16001,2090,10.0,43.4508,-116.2413,64.8078,-146.5622
16001,2100,15.0,43.4508,-116.2413,59.1181,-135.5027
16001,2110,463.0,43.4508,-116.2413,58.4509,-134.1764
16001,2122,46.0,43.4508,-116.2413,60.2538,-151.5612
16001,2164,-2.0,43.4508,-116.2413,58.6364,-156.1893
16001,2170,38.0,43.4508,-116.2413,62.3158,-149.5715
16001,2220,2.0,43.4508,-116.2413,57.2339,-135.3152
16001,2282,-6.0,43.4508,-116.2413,59.8883,-140.3496
16001,4003,66.0,43.4508,-116.2413,31.8792,-109.7511
16001,4005,22.0,43.4508,-116.2413,35.8387,-111.7705
16001,4012,-33.0,43.4508,-116.2413,33.7292,-113.9812
16001,4013,-91.0,43.4508,-116.2413,33.3487,-112.4911
16001,4015,-21.0,43.4508,-116.2413,35.7046,-113.7582
16001,4017,4.0,43.4508,-116.2413,35.3998,-110.3214
16001,4019,13.0,43.4508,-116.2413,32.0975,-111.7895
16001,4021,-4.0,43.4508,-116.2413,32.9047,-111.3447
16001,4025,-9.0,43.4508,-116.2413,34.5997,-112.5538
16001,4027,-7.0,43.4508,-116.2413,32.7693,-113.9058
16001,5009,223.0,43.4508,-116.2413,36.3087,-93.0914
16001,5045,13.0,43.4508,-116.2413,35.1473,-92.3320
16001,5119,8.0,43.4508,-116.2413,34.7699,-92.3119
16001,5141,17.0,43.4508,-116.2413,35.5805,-92.5161
16001,6001,126.0,43.4508,-116.2413,37.6464,-121.8886
16001,6005,69.0,43.4508,-116.2413,38.4464,-120.6513
16001,6007,-61.0,43.4508,-116.2413,39.6668,-121.6010
16001,6009,64.0,43.4508,-116.2413,38.2047,-120.5542
16001,6013,177.0,43.4508,-116.2413,37.9193,-121.9281
16001,6015,39.0,43.4508,-116.2413,41.7432,-123.8972
16001,6017,8.0,43.4508,-116.2413,38.7788,-120.5247
16001,6019,10.0,43.4508,-116.2413,36.7580,-119.6495
16001,6023,19.0,43.4508,-116.2413,40.6993,-123.8756
16001,6037,372.0,43.4508,-116.2413,34.3213,-118.2247
16001,6045,2.0,43.4508,-116.2413,39.4403,-123.3915
16001,6053,28.0,43.4508,-116.2413,36.2171,-121.2387
16001,6055,-1.0,43.4508,-116.2413,38.5065,-122.3306
16001,6059,347.0,43.4508,-116.2413,33.7031,-117.7609
16001,6061,107.0,43.4508,-116.2413,39.0635,-120.7178
16001,6065,60.0,43.4508,-116.2413,33.7433,-115.9940
16001,6067,168.0,43.4508,-116.2413,38.4488,-121.3445
16001,6071,217.0,43.4508,-116.2413,34.8416,-116.1786
16001,6073,322.0,43.4508,-116.2413,33.0339,-116.7354
16001,6075,-101.0,43.4508,-116.2413,37.7567,-122.4397
16001,6077,-128.0,43.4508,-116.2413,37.9345,-121.2710
16001,6079,23.0,43.4508,-116.2413,35.3870,-120.4042
16001,6081,-7.0,43.4508,-116.2413,37.4230,-122.3289
16001,6083,118.0,43.4508,-116.2413,34.6714,-120.0151
16001,6085,39.0,43.4508,-116.2413,37.2318,-121.6952
16001,6087,-22.0,43.4508,-116.2413,37.0562,-122.0018
16001,6089,12.0,43.4508,-116.2413,40.7639,-122.0410
16001,6095,-20.0,43.4508,-116.2413,38.2703,-121.9331
16001,6097,29.0,43.4508,-116.2413,38.5285,-122.8874
16001,6099,-4.0,43.4508,-116.2413,37.5586,-120.9979
16001,6103,49.0,43.4508,-116.2413,40.1256,-122.2339
16001,6107,-5.0,43.4508,-116.2413,36.2201,-118.8007
16001,6111,-25.0,43.4508,-116.2413,34.4547,-119.0848
16001,6113,-179.0,43.4508,-116.2413,38.6865,-121.9015
16001,6115,-9.0,43.4508,-116.2413,39.2692,-121.3510
16001,8005,155.0,43.4508,-116.2413,39.6499,-104.3386
16001,8013,-120.0,43.4508,-116.2413,40.0924,-105.3575
16001,8014,1.0,43.4508,-116.2413,39.9541,-105.0531
16001,8031,-63.0,43.4508,-116.2413,39.7611,-104.8763
16001,8035,28.0,43.4508,-116.2413,39.3297,-104.9292
16001,8041,-5.0,43.4508,-116.2413,38.8324,-104.5258
16001,8043,-43.0,43.4508,-116.2413,38.4731,-105.4400
16001,8045,-18.0,43.4508,-116.2413,39.5995,-107.9035
16001,8059,-15.0,43.4508,-116.2413,39.5865,-105.2505
16001,8069,31.0,43.4508,-116.2413,40.6666,-105.4615
16001,8077,-193.0,43.4508,-116.2413,39.0183,-108.4665
16001,8083,15.0,43.4508,-116.2413,37.3389,-108.5965
16001,8097,1.0,43.4508,-116.2413,39.2173,-106.9159
16001,8101,-8.0,43.4508,-116.2413,38.1738,-104.5125
16001,8107,7.0,43.4508,-116.2413,40.4855,-106.9915
16001,8123,-6.0,43.4508,-116.2413,40.5549,-104.3930
16001,9011,-26.0,43.4508,-116.2413,41.4871,-72.1023
16001,9013,18.0,43.4508,-116.2413,41.8551,-72.3364
16001,10003,-31.0,43.4508,-116.2413,39.5815,-75.6479
16001,11001,-43.0,43.4508,-116.2413,38.9048,-77.0163
16001,12001,24.0,43.4508,-116.2413,29.6751,-82.3580
16001,12007,-9.0,43.4508,-116.2413,29.9497,-82.1682
16001,12009,-7.0,43.4508,-116.2413,28.2932,-80.7322
16001,12019,-18.0,43.4508,-116.2413,29.9831,-81.8579
16001,12031,22.0,43.4508,-116.2413,30.3320,-81.6706
16001,12033,-35.0,43.4508,-116.2413,30.6680,-87.3629
16001,12049,-24.0,43.4508,-116.2413,27.4932,-81.8095
16001,12057,-37.0,43.4508,-116.2413,27.9292,-82.3089
16001,12071,-11.0,43.4508,-116.2413,26.5780,-81.8407
16001,12086,79.0,43.4508,-116.2413,25.6152,-80.5591
16001,12091,-8.0,43.4508,-116.2413,30.6911,-86.5922
16001,12095,-25.0,43.4508,-116.2413,28.5141,-81.3231
16001,12099,-25.0,43.4508,-116.2413,26.6474,-80.4650
16001,12105,5.0,43.4508,-116.2413,27.9487,-81.6971
16001,12109,-12.0,43.4508,-116.2413,29.9017,-81.4405
16001,12115,-136.0,43.4508,-116.2413,27.1843,-82.3314
16001,13059,-27.0,43.4508,-116.2413,33.9510,-83.3676
16001,13121,-26.0,43.4508,-116.2413,33.7902,-84.4673
16001,13127,105.0,43.4508,-116.2413,31.2308,-81.5399
16001,13151,-88.0,43.4508,-116.2413,33.4528,-84.1538
16001,13179,-98.0,43.4508,-116.2413,31.8278,-81.4946
16001,13215,-2.0,43.4508,-116.2413,32.5099,-84.8762
16001,13245,-11.0,43.4508,-116.2413,33.3595,-82.0739
16001,15003,-80.0,43.4508,-116.2413,21.4588,-157.9747
16001,15009,37.0,43.4508,-116.2413,20.8640,-156.5692
16001,16003,-26.0,43.4508,-116.2413,44.8894,-116.4539
16001,16005,-48.0,43.4508,-116.2413,42.6683,-112.2244
16001,16007,-10.0,43.4508,-116.2413,42.2847,-111.3295
16001,16009,57.0,43.4508,-116.2413,47.2169,-116.6588
16001,16011,105.0,43.4508,-116.2413,43.2165,-112.3979
16001,16013,309.0,43.4508,-116.2413,43.4115,-113.9797
16001,16015,-124.0,43.4508,-116.2413,43.9891,-115.7302
16001,16017,12.0,43.4508,-116.2413,48.3001,-116.6014
16001,16019,-7.0,43.4508,-116.2413,43.3880,-111.6148
16001,16021,1.0,43.4508,-116.2413,48.7669,-116.4628
16001,16023,19.0,43.4508,-116.2413,43.7226,-113.1721
16001,16025,7.0,43.4508,-116.2413,43.4631,-114.8061
16001,16027,-5372.0,43.4508,-116.2413,43.6249,-116.7093
16001,16029,9.0,43.4508,-116.2413,42.7706,-111.5624
16001,16031,-23.0,43.4508,-116.2413,42.2838,-113.6012
16001,16035,-224.0,43.4508,-116.2413,46.6736,-115.6564
16001,16037,10.0,43.4508,-116.2413,44.2414,-114.2816
16001,16039,-166.0,43.4508,-116.2413,43.3538,-115.4695
16001,16041,-12.0,43.4508,-116.2413,42.1812,-111.8132
16001,16043,8.0,43.4508,-116.2413,44.2290,-111.4821
16001,16045,175.0,43.4508,-116.2413,44.0606,-116.3981
16001,16047,-35.0,43.4508,-116.2413,42.9708,-114.8115
16001,16049,-43.0,43.4508,-116.2413,45.8441,-115.4671
16001,16051,53.0,43.4508,-116.2413,43.8203,-112.3120
16001,16053,78.0,43.4508,-116.2413,42.6899,-114.2645
16001,16055,161.0,43.4508,-116.2413,47.6743,-116.7018
16001,16057,78.0,43.4508,-116.2413,46.8156,-116.7116
16001,16059,-7.0,43.4508,-116.2413,44.9436,-113.9336
16001,16061,-22.0,43.4508,-116.2413,46.2370,-116.4262
16001,16063,2.0,43.4508,-116.2413,43.0023,-114.1384
16001,16065,9.0,43.4508,-116.2413,43.7843,-111.6604
16001,16067,111.0,43.4508,-116.2413,42.8542,-113.6376
16001,16069,-109.0,43.4508,-116.2413,46.3270,-116.7499
16001,16071,23.0,43.4508,-116.2413,42.1949,-112.5392
16001,16073,-172.0,43.4508,-116.2413,42.5814,-116.1699
16001,16075,50.0,43.4508,-116.2413,44.0068,-116.7605
16001,16077,28.0,43.4508,-116.2413,42.6932,-112.8399
16001,16079,-45.0,43.4508,-116.2413,47.3532,-115.8925
16001,16081,128.0,43.4508,-116.2413,43.7599,-111.2078
16001,16083,31.0,43.4508,-116.2413,42.3562,-114.6682
16001,16085,98.0,43.4508,-116.2413,44.7664,-115.5665
16001,16087,56.0,43.4508,-116.2413,44.4527,-116.7851
16001,17019,26.0,43.4508,-116.2413,40.1398,-88.1995
16001,17031,26.0,43.4508,-116.2413,41.8401,-87.8170
16001,17037,15.0,43.4508,-116.2413,41.8937,-88.7702
16001,17043,38.0,43.4508,-116.2413,41.8517,-88.0856
16001,17067,21.0,43.4508,-116.2413,40.4037,-91.1647
16001,17097,-23.0,43.4508,-116.2413,42.3232,-88.0037
16001,17161,-25.0,43.4508,-116.2413,41.4674,-90.5679
16001,17187,26.0,43.4508,-116.2413,40.8489,-90.6148
16001,17197,-36.0,43.4508,-116.2413,41.4449,-87.9783
16001,18021,-19.0,43.4508,-116.2413,39.3929,-87.1158
16001,18039,-13.0,43.4508,-116.2413,41.5977,-85.8589
16001,18067,-3.0,43.4508,-116.2413,40.4836,-86.1167
16001,18089,53.0,43.4508,-116.2413,41.4169,-87.3822
16001,18097,-15.0,43.4508,-116.2413,39.7816,-86.1383
16001,18113,-16.0,43.4508,-116.2413,41.3984,-85.4174
16001,18127,0.0,43.4508,-116.2413,41.4606,-87.0678
16001,19051,-6.0,43.4508,-116.2413,40.7478,-92.4101
16001,19077,-6.0,43.4508,-116.2413,41.6838,-94.5011
16001,19119,-4.0,43.4508,-116.2413,43.3811,-96.2102
16001,19139,-30.0,43.4508,-116.2413,41.4839,-91.1128
16001,19153,-25.0,43.4508,-116.2413,41.6856,-93.5738
16001,19155,13.0,43.4508,-116.2413,41.3366,-95.5429
16001,19167,-16.0,43.4508,-116.2413,43.0829,-96.1781
16001,20045,14.0,43.4508,-116.2413,38.8845,-95.2926
16001,20091,19.0,43.4508,-116.2413,38.8837,-94.8226
16001,20093,-1.0,43.4508,-116.2413,38.0002,-101.3204
16001,20097,30.0,43.4508,-116.2413,37.5584,-99.2858
16001,20149,-3.0,43.4508,-116.2413,39.3790,-96.3428
16001,20169,-15.0,43.4508,-116.2413,38.7841,-97.6495
16001,20173,-12.0,43.4508,-116.2413,37.6845,-97.4608
16001,21093,-7.0,43.4508,-116.2413,37.6985,-85.9636
16001,21103,-39.0,43.4508,-116.2413,38.4486,-85.1192
16001,22015,10.0,43.4508,-116.2413,32.6788,-93.6044
16001,22025,-5.0,43.4508,-116.2413,31.6662,-91.8469
16001,22033,-48.0,43.4508,-116.2413,30.5380,-91.0957
16001,22071,-9.0,43.4508,-116.2413,30.0692,-89.9283
16001,22115,17.0,43.4508,-116.2413,31.1080,-93.1837
16001,23005,15.0,43.4508,-116.2413,43.8384,-70.3756
16001,23023,-4.0,43.4508,-116.2413,43.9589,-69.8536
16001,24031,-38.0,43.4508,-116.2413,39.1363,-77.2043
16001,24033,-28.0,43.4508,-116.2413,38.8300,-76.8474
16001,24043,-33.0,43.4508,-116.2413,39.6041,-77.8133
16001,25001,-4.0,43.4508,-116.2413,41.7233,-70.2899
16001,25015,-16.0,43.4508,-116.2413,42.3403,-72.6639
16001,25017,13.0,43.4508,-116.2413,42.4858,-71.3928
16001,25025,-23.0,43.4508,-116.2413,42.3343,-71.0694
16001,25027,9.0,43.4508,-116.2413,42.3511,-71.9078
16001,26065,-9.0,43.4508,-116.2413,42.5974,-84.3735
16001,26081,-28.0,43.4508,-116.2413,43.0320,-85.5493
16001,26099,67.0,43.4508,-116.2413,42.6958,-82.9326
16001,26125,77.0,43.4508,-116.2413,42.6609,-83.3859
16001,26139,18.0,43.4508,-116.2413,42.9598,-85.9966
16001,26143,-14.0,43.4508,-116.2413,44.3355,-84.6114
16001,26161,-87.0,43.4508,-116.2413,42.2534,-83.8388
16001,26163,12.0,43.4508,-116.2413,42.2814,-83.2824
16001,27037,-2.0,43.4508,-116.2413,44.6724,-93.0655
16001,27053,5.0,43.4508,-116.2413,45.0048,-93.4770
16001,27055,18.0,43.4508,-116.2413,43.6714,-91.4928
16001,27091,-3.0,43.4508,-116.2413,43.6743,-94.5510
16001,27103,26.0,43.4508,-116.2413,44.3498,-94.2474
16001,27109,-11.0,43.4508,-116.2413,44.0038,-92.4021
16001,27123,65.0,43.4508,-116.2413,45.0175,-93.0999
16001,27139,4.0,43.4508,-116.2413,44.6485,-93.5369
16001,27151,5.0,43.4508,-116.2413,45.2829,-95.6814
16001,27163,-24.0,43.4508,-116.2413,45.0392,-92.8837
16001,28033,3.0,43.4508,-116.2413,34.8755,-89.9917
16001,28047,-58.0,43.4508,-116.2413,30.5044,-89.1114
16001,28145,-30.0,43.4508,-116.2413,34.4903,-89.0039
16001,28149,-1.0,43.4508,-116.2413,32.3562,-90.8518
16001,29095,-5.0,43.4508,-116.2413,39.0085,-94.3460
16001,29097,-9.0,43.4508,-116.2413,37.2035,-94.3405
16001,29169,-22.0,43.4508,-116.2413,37.8246,-92.2078
16001,29183,-38.0,43.4508,-116.2413,38.7824,-90.6741
16001,29189,-5.0,43.4508,-116.2413,38.6405,-90.4434
16001,29219,-36.0,43.4508,-116.2413,38.7645,-91.1602
16001,29225,-33.0,43.4508,-116.2413,37.2809,-92.8759
16001,30001,14.0,43.4508,-116.2413,45.1330,-112.8990
16001,30005,-2.0,43.4508,-116.2413,48.4320,-108.9583
16001,30007,-42.0,43.4508,-116.2413,46.3322,-111.4954
16001,30013,11.0,43.4508,-116.2413,47.3081,-111.3475
16001,30015,-1.0,43.4508,-116.2413,47.8803,-110.4357
16001,30017,1.0,43.4508,-116.2413,46.2527,-105.5718
16001,30029,-346.0,43.4508,-116.2413,48.2951,-114.0493
16001,30031,-76.0,43.4508,-116.2413,45.5411,-111.1696
16001,30039,18.0,43.4508,-116.2413,46.4042,-113.4406
16001,30049,33.0,43.4508,-116.2413,47.1224,-112.3904
16001,30063,262.0,43.4508,-116.2413,47.0364,-113.9235
16001,30081,54.0,43.4508,-116.2413,46.0819,-114.1203
16001,30093,40.0,43.4508,-116.2413,45.9025,-112.6566
16001,30111,-52.0,43.4508,-116.2413,45.9372,-108.2748
16001,31019,-50.0,43.4508,-116.2413,40.8550,-99.0751
16001,31021,-3.0,43.4508,-116.2413,41.8515,-96.3286
16001,31049,-7.0,43.4508,-116.2413,41.1115,-102.3339
16001,31055,24.0,43.4508,-116.2413,41.2953,-96.1549
16001,31109,-6.0,43.4508,-116.2413,40.7842,-96.6878
16001,31159,-12.0,43.4508,-116.2413,40.8724,-97.1397
16001,31161,-10.0,43.4508,-116.2413,42.5045,-102.4089
16001,32001,-5.0,43.4508,-116.2413,39.5814,-118.3363
16001,32003,295.0,43.4508,-116.2413,36.2151,-115.0146
16001,32005,24.0,43.4508,-116.2413,38.9121,-119.6162
16001,32007,-42.0,43.4508,-116.2413,41.1460,-115.3579
16001,32011,-19.0,43.4508,-116.2413,39.9842,-116.2690
16001,32013,-5.0,43.4508,-116.2413,41.4068,-118.1121
16001,32015,-38.0,43.4508,-116.2413,39.9330,-117.0385
16001,32031,141.0,43.4508,-116.2413,40.6657,-119.6643
16001,32033,-22.0,43.4508,-116.2413,39.4423,-114.9015
16001,32510,5.0,43.4508,-116.2413,39.1511,-119.7473
16001,33011,5.0,43.4508,-116.2413,42.9153,-71.7160
16001,34003,1.0,43.4508,-116.2413,40.9601,-74.0743
16001,34023,24.0,43.4508,-116.2413,40.4398,-74.4109
16001,35001,14.0,43.4508,-116.2413,35.0513,-106.6705
16001,35013,23.0,43.4508,-116.2413,32.3528,-106.8327
16001,35049,-5.0,43.4508,-116.2413,35.5065,-105.9764
16001,35051,18.0,43.4508,-116.2413,33.1306,-107.1924
16001,36045,-37.0,43.4508,-116.2413,44.0480,-75.9313
16001,36047,16.0,43.4508,-116.2413,40.6391,-73.9386
16001,36055,-10.0,43.4508,-116.2413,43.1469,-77.6960
16001,36067,20.0,43.4508,-116.2413,43.0061,-76.1946
16001,36081,110.0,43.4508,-116.2413,40.7038,-73.8201
