source,target,flow,source_lat,source_lon,target_lat,target_lon,source_num
2170,41001,-37,62.3158,-149.5715,44.7091,-117.6755,41001
6053,41001,-3,36.2171,-121.2387,44.7091,-117.6755,41001
12109,41001,-29,29.9017,-81.4405,44.7091,-117.6755,41001
16001,41001,-222,43.4508,-116.2413,44.7091,-117.6755,41001
16027,41001,-31,43.6249,-116.7093,44.7091,-117.6755,41001
16049,41001,-9,45.8441,-115.4671,44.7091,-117.6755,41001
16057,41001,-10,46.8156,-116.7116,44.7091,-117.6755,41001
16075,41001,-4,44.0068,-116.7605,44.7091,-117.6755,41001
17077,41001,-11,37.7851,-89.3823,44.7091,-117.6755,41001
29029,41001,-15,38.027,-92.766,44.7091,-117.6755,41001
41005,41001,-55,45.1879,-122.2203,44.7091,-117.6755,41001
41007,41001,-94,45.9948,-123.6562,44.7091,-117.6755,41001
41011,41001,-9,43.1742,-124.0597,44.7091,-117.6755,41001
41019,41001,-8,43.2795,-123.1666,44.7091,-117.6755,41001
41023,41001,-22,44.4913,-119.0073,44.7091,-117.6755,41001
41031,41001,-25,44.6294,-121.1764,44.7091,-117.6755,41001
41033,41001,-3,42.3652,-123.5556,44.7091,-117.6755,41001
41035,41001,-7,42.6863,-121.65,44.7091,-117.6755,41001
41039,41001,-22,43.9386,-122.8473,44.7091,-117.6755,41001
41045,41001,-70,43.1935,-117.6231,44.7091,-117.6755,41001
41047,41001,-43,44.9032,-122.5846,44.7091,-117.6755,41001
41051,41001,-263,45.5465,-122.4147,44.7091,-117.6755,41001
41057,41001,-10,45.4634,-123.7128,44.7091,-117.6755,41001
41059,41001,-156,45.5916,-118.7366,44.7091,-117.6755,41001
41061,41001,-68,45.3105,-118.009,44.7091,-117.6755,41001
41065,41001,-11,45.1602,-121.1676,44.7091,-117.6755,41001
41067,41001,-44,45.5598,-123.0983,44.7091,-117.6755,41001
41069,41001,-5,44.7262,-120.0277,44.7091,-117.6755,41001
41071,41001,-3,45.2326,-123.3078,44.7091,-117.6755,41001
48381,41001,-36,34.9659,-101.8971,44.7091,-117.6755,41001
48483,41001,-5,35.4011,-100.27,44.7091,-117.6755,41001
53041,41001,-3,46.5775,-122.3919,44.7091,-117.6755,41001
53067,41001,-10,46.9268,-122.8328,44.7091,-117.6755,41001
53071,41001,-56,46.2297,-118.4786,44.7091,-117.6755,41001
1003,41003,-20,30.7278,-87.7227,44.4917,-123.4285,41003
2060,41003,-6,58.7422,-156.7027,44.4917,-123.4285,41003
2122,41003,-120,60.2538,-151.5612,44.4917,-123.4285,41003
2180,41003,-11,64.9106,-164.0344,44.4917,-123.4285,41003
2195,41003,-3,57.1199,-132.9334,44.4917,-123.4285,41003
2198,41003,-3,55.8164,-133.0585,44.4917,-123.4285,41003
4003,41003,-29,31.8792,-109.7511,44.4917,-123.4285,41003
4013,41003,-160,33.3487,-112.4911,44.4917,-123.4285,41003
4019,41003,-47,32.0975,-111.7895,44.4917,-123.4285,41003
6001,41003,-40,37.6464,-121.8886,44.4917,-123.4285,41003
6013,41003,-6,37.9193,-121.9281,44.4917,-123.4285,41003
6023,41003,-32,40.6993,-123.8756,44.4917,-123.4285,41003
6037,41003,-86,34.3213,-118.2247,44.4917,-123.4285,41003
6041,41003,-1,38.0735,-122.7234,44.4917,-123.4285,41003
6047,41003,-21,37.1919,-120.7178,44.4917,-123.4285,41003
6065,41003,-52,33.7433,-115.994,44.4917,-123.4285,41003
