RES_FIPS,RES_ST,RES_CO,WORK_FIPS,WORK_ST,WORK_CO,FLOW,MOE,RES,RES_LAT,RES_LON,WORK_LAT,WORK_LON,FLOW_NUM,ID,RES_WORK,WORK_RES,OPP_FLOW,NET_FLOW
16001,Idaho,Ada County,16003,Idaho,Adams County,71,77,0,43.4508,-116.2413,44.8894,-116.4539,71,1,1600116003,1600316001,12,-59
16001,Idaho,Ada County,16005,Idaho,Bannock County,29,44,0,43.4508,-116.2413,42.6683,-112.2244,29,2,1600116005,1600516001,44,15
16001,Idaho,Ada County,16013,Idaho,Blaine County,153,144,0,43.4508,-116.2413,43.4115,-113.9797,153,3,1600116013,1601316001,0,-153
16001,Idaho,Ada County,16015,Idaho,Boise County,473,173,0,43.4508,-116.2413,43.9891,-115.7302,473,4,1600116015,1601516001,1315,842
16001,Idaho,Ada County,16019,Idaho,Bonneville County,9,16,0,43.4508,-116.2413,43.388,-111.6148,9,5,1600116019,1601916001,95,86
16001,Idaho,Ada County,16027,Idaho,Canyon County,10101,990,0,43.4508,-116.2413,43.6249,-116.7093,10101,6,1600116027,1602716001,27337,17236
16001,Idaho,Ada County,16037,Idaho,Custer County,14,23,0,43.4508,-116.2413,44.2414,-114.2816,14,7,1600116037,1603716001,5,-9
16001,Idaho,Ada County,16039,Idaho,Elmore County,700,278,0,43.4508,-116.2413,43.3538,-115.4695,700,8,1600116039,1603916001,944,244
16001,Idaho,Ada County,16045,Idaho,Gem County,289,144,0,43.4508,-116.2413,44.0606,-116.3981,289,9,1600116045,1604516001,1768,1479
16001,Idaho,Ada County,16051,Idaho,Jefferson County,8,13,0,43.4508,-116.2413,43.8203,-112.312,8,10,1600116051,1605116001,0,-8
16001,Idaho,Ada County,16053,Idaho,Jerome County,40,70,0,43.4508,-116.2413,42.6899,-114.2645,40,11,1600116053,1605316001,20,-20
16001,Idaho,Ada County,16065,Idaho,Madison County,9,13,0,43.4508,-116.2413,43.7843,-111.6604,9,12,1600116065,1606516001,12,3
16001,Idaho,Ada County,16069,Idaho,Nez Perce County,9,14,0,43.4508,-116.2413,46.327,-116.7499,9,13,1600116069,1606916001,14,5
16001,Idaho,Ada County,16073,Idaho,Owyhee County,156,96,0,43.4508,-116.2413,42.5814,-116.1699,156,14,1600116073,1607316001,428,272
16001,Idaho,Ada County,16075,Idaho,Payette County,71,50,0,43.4508,-116.2413,44.0068,-116.7605,71,15,1600116075,1607516001,396,325
16001,Idaho,Ada County,16083,Idaho,Twin Falls County,206,123,0,43.4508,-116.2413,42.3562,-114.6682,206,16,1600116083,1608316001,162,-44
16001,Idaho,Ada County,16085,Idaho,Valley County,115,72,0,43.4508,-116.2413,44.7664,-115.5665,115,17,1600116085,1608516001,133,18
16001,Idaho,Ada County,16087,Idaho,Washington County,59,52,0,43.4508,-116.2413,44.4527,-116.7851,59,18,1600116087,1608716001,83,24
16003,Idaho,Adams County,16001,Idaho,Ada County,12,10,0,44.8894,-116.4539,43.4508,-116.2413,12,19,1600316001,1600116003,71,59
16003,Idaho,Adams County,16017,Idaho,Bonner County,1,5,0,44.8894,-116.4539,48.3001,-116.6014,1,20,1600316017,1601716003,0,-1
16003,Idaho,Adams County,16049,Idaho,Idaho County,22,18,0,44.8894,-116.4539,45.8441,-115.4671,22,21,1600316049,1604916003,17,-5
16003,Idaho,Adams County,16057,Idaho,Latah County,31,28,0,44.8894,-116.4539,46.8156,-116.7116,31,22,1600316057,1605716003,7,-24
16003,Idaho,Adams County,16075,Idaho,Payette County,12,18,0,44.8894,-116.4539,44.0068,-116.7605,12,23,1600316075,1607516003,0,-12
16003,Idaho,Adams County,16085,Idaho,Valley County,383,79,0,44.8894,-116.4539,44.7664,-115.5665,383,24,1600316085,1608516003,99,-284
16003,Idaho,Adams County,16087,Idaho,Washington County,20,15,0,44.8894,-116.4539,44.4527,-116.7851,20,25,1600316087,1608716003,53,33
16005,Idaho,Bannock County,16001,Idaho,Ada County,44,27,0,42.6683,-112.2244,43.4508,-116.2413,44,26,1600516001,1600116005,29,-15
16005,Idaho,Bannock County,16007,Idaho,Bear Lake County,6,9,0,42.6683,-112.2244,42.2847,-111.3295,6,27,1600516007,1600716005,17,11
16005,Idaho,Bannock County,16011,Idaho,Bingham County,1289,234,0,42.6683,-112.2244,43.2165,-112.3979,1289,28,1600516011,1601116005,1259,-30
16005,Idaho,Bannock County,16013,Idaho,Blaine County,20,24,0,42.6683,-112.2244,43.4115,-113.9797,20,29,1600516013,1601316005,13,-7
16005,Idaho,Bannock County,16019,Idaho,Bonneville County,800,158,0,42.6683,-112.2244,43.388,-111.6148,800,30,1600516019,1601916005,405,-395
16005,Idaho,Bannock County,16023,Idaho,Butte County,329,126,0,42.6683,-112.2244,43.7226,-113.1721,329,31,1600516023,1602316005,4,-325
16005,Idaho,Bannock County,16025,Idaho,Camas County,15,24,0,42.6683,-112.2244,43.4631,-114.8061,15,32,1600516025,1602516005,0,-15
16005,Idaho,Bannock County,16027,Idaho,Canyon County,29,23,0,42.6683,-112.2244,43.6249,-116.7093,29,33,1600516027,1602716005,0,-29
16005,Idaho,Bannock County,16029,Idaho,Caribou County,301,116,0,42.6683,-112.2244,42.7706,-111.5624,301,34,1600516029,1602916005,106,-195
16005,Idaho,Bannock County,16031,Idaho,Cassia County,2,3,0,42.6683,-112.2244,42.2838,-113.6012,2,35,1600516031,1603116005,2,0
16005,Idaho,Bannock County,16041,Idaho,Franklin County,17,22,0,42.6683,-112.2244,42.1812,-111.8132,17,36,1600516041,1604116005,27,10
16005,Idaho,Bannock County,16043,Idaho,Fremont County,8,12,0,42.6683,-112.2244,44.229,-111.4821,8,37,1600516043,1604316005,12,4
16005,Idaho,Bannock County,16051,Idaho,Jefferson County,46,43,0,42.6683,-112.2244,43.8203,-112.312,46,38,1600516051,1605116005,54,8
16005,Idaho,Bannock County,16053,Idaho,Jerome County,8,13,0,42.6683,-112.2244,42.6899,-114.2645,8,39,1600516053,1605316005,7,-1
16005,Idaho,Bannock County,16055,Idaho,Kootenai County,4,12,0,42.6683,-112.2244,47.6743,-116.7018,4,40,1600516055,1605516005,0,-4
16005,Idaho,Bannock County,16065,Idaho,Madison County,26,22,0,42.6683,-112.2244,43.7843,-111.6604,26,41,1600516065,1606516005,25,-1
16005,Idaho,Bannock County,16071,Idaho,Oneida County,43,64,0,42.6683,-112.2244,42.1949,-112.5392,43,42,1600516071,1607116005,79,36
16005,Idaho,Bannock County,16077,Idaho,Power County,1132,350,0,42.6683,-112.2244,42.6932,-112.8399,1132,43,1600516077,1607716005,630,-502
16005,Idaho,Bannock County,16083,Idaho,Twin Falls County,44,34,0,42.6683,-112.2244,42.3562,-114.6682,44,44,1600516083,1608316005,19,-25
16007,Idaho,Bear Lake County,16001,Idaho,Ada County,10,11,0,42.2847,-111.3295,43.4508,-116.2413,10,45,1600716001,1600116007,0,-10
16007,Idaho,Bear Lake County,16005,Idaho,Bannock County,17,14,0,42.2847,-111.3295,42.6683,-112.2244,17,46,1600716005,1600516007,6,-11
16007,Idaho,Bear Lake County,16029,Idaho,Caribou County,341,75,0,42.2847,-111.3295,42.7706,-111.5624,341,47,1600716029,1602916007,2,-339
16007,Idaho,Bear Lake County,16041,Idaho,Franklin County,10,13,0,42.2847,-111.3295,42.1812,-111.8132,10,48,1600716041,1604116007,13,3
16007,Idaho,Bear Lake County,16051,Idaho,Jefferson County,11,17,0,42.2847,-111.3295,43.8203,-112.312,11,49,1600716051,1605116007,0,-11
16007,Idaho,Bear Lake County,16071,Idaho,Oneida County,33,48,0,42.2847,-111.3295,42.1949,-112.5392,33,50,1600716071,1607116007,0,-33
16007,Idaho,Bear Lake County,16077,Idaho,Power County,2,3,0,42.2847,-111.3295,42.6932,-112.8399,2,51,1600716077,1607716007,0,-2
16009,Idaho,Benewah County,16017,Idaho,Bonner County,3,5,0,47.2169,-116.6588,48.3001,-116.6014,3,52,1600916017,1601716009,9,6
16009,Idaho,Benewah County,16055,Idaho,Kootenai County,339,57,0,47.2169,-116.6588,47.6743,-116.7018,339,53,1600916055,1605516009,567,228
16009,Idaho,Benewah County,16057,Idaho,Latah County,33,23,0,47.2169,-116.6588,46.8156,-116.7116,33,54,1600916057,1605716009,62,29
16009,Idaho,Benewah County,16069,Idaho,Nez Perce County,66,41,0,47.2169,-116.6588,46.327,-116.7499,66,55,1600916069,1606916009,12,-54
16009,Idaho,Benewah County,16079,Idaho,Shoshone County,44,46,0,47.2169,-116.6588,47.3532,-115.8925,44,56,1600916079,1607916009,105,61
16011,Idaho,Bingham County,16001,Idaho,Ada County,25,27,0,43.2165,-112.3979,43.4508,-116.2413,25,57,1601116001,1600116011,0,-25
16011,Idaho,Bingham County,16005,Idaho,Bannock County,1259,231,0,43.2165,-112.3979,42.6683,-112.2244,1259,58,1601116005,1600516011,1289,30
