ROUTE,SOURCE,TARGET,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,source_lat,source_lon,target_lat,target_lon,ID,flow
ABQ-PDX,ABQ,PDX,62,56,62,60,62,100,116,116,110,66,35.03894,-106.6082,45.58871,-122.5968,1,810
ABQ-SEA,ABQ,SEA,67,56,103,120,124,120,124,122,110,114,35.03894,-106.6082,47.44989,-122.3117,2,1060
ALW-SEA,ALW,SEA,168,152,162,156,158,154,160,152,120,124,46.0952,-118.2859,47.44989,-122.3117,3,1506
ANC-PDX,ANC,PDX,128,112,124,120,208,278,290,282,190,186,61.17416,-149.9982,45.58871,-122.5968,4,1918
ANC-SEA,ANC,SEA,916,814,963,950,1210,1557,1667,1643,1249,981,61.17416,-149.9982,47.44989,-122.3117,5,11950
ATL-PDX,ATL,PDX,171,154,184,172,186,297,391,305,234,176,33.63671,-84.42787,45.58871,-122.5968,6,2270
ATL-SEA,ATL,SEA,385,348,467,492,524,550,715,672,555,506,33.63671,-84.42787,47.44989,-122.3117,7,5214
AUS-PDX,AUS,PDX,62,56,62,80,89,124,144,102,94,90,30.19453,-97.66988,45.58871,-122.5968,8,903
AUS-SEA,AUS,SEA,180,152,169,189,210,216,220,218,196,201,30.19453,-97.66988,47.44989,-122.3117,9,1951
AZA-BLI,AZA,BLI,22,22,38,30,28,26,32,26,20,24,33.30777,-111.6555,48.7927,-122.5375,10,268
AZA-BOI,AZA,BOI,18,16,18,18,16,18,18,18,16,18,33.30777,-111.6555,43.56437,-116.2228,11,174
AZA-EUG,AZA,EUG,18,16,26,22,18,20,26,18,20,16,33.30777,-111.6555,44.12459,-123.2119,12,200
AZA-IDA,AZA,IDA,18,20,26,20,24,34,36,26,16,24,33.30777,-111.6555,43.51373,-112.0707,13,244
AZA-MFR,AZA,MFR,0,0,0,0,8,18,18,8,0,0,33.30777,-111.6555,42.37423,-122.8735,14,52
AZA-PSC,AZA,PSC,18,16,26,20,18,18,24,18,18,16,33.30777,-111.6555,46.2647,-119.119,15,192
BIL-PDX,BIL,PDX,62,56,62,60,62,60,62,62,60,62,45.80786,-108.5435,45.58871,-122.5968,16,608
BIL-SEA,BIL,SEA,116,104,120,120,124,120,124,124,120,124,45.80786,-108.5435,47.44989,-122.3117,17,1196
BLI-AZA,BLI,AZA,22,22,38,30,28,26,32,26,20,24,48.7927,-122.5375,33.30777,-111.6555,18,268
BLI-DEN,BLI,DEN,0,0,0,0,8,18,18,12,0,0,48.7927,-122.5375,39.86167,-104.6731,19,56
BLI-KOA,BLI,KOA,8,8,10,0,0,0,0,0,0,0,48.7927,-122.5375,19.73877,-156.0456,20,26
BLI-LAS,BLI,LAS,106,118,150,148,140,128,132,134,128,142,48.7927,-122.5375,36.08006,-115.1522,21,1326
BLI-LAX,BLI,LAX,18,16,34,26,28,30,36,30,18,16,48.7927,-122.5375,33.9425,-118.408,22,252
BLI-OAK,BLI,OAK,28,24,36,32,32,40,44,44,28,28,48.7927,-122.5375,37.72125,-122.2211,23,336
BLI-OGG,BLI,OGG,36,32,35,0,0,0,0,0,0,0,48.7927,-122.5375,20.89866,-156.4304,24,103
BLI-PDX,BLI,PDX,62,56,62,60,86,120,124,99,0,0,48.7927,-122.5375,45.58871,-122.5968,25,669
BLI-PSP,BLI,PSP,28,32,48,30,26,16,18,18,18,32,48.7927,-122.5375,33.82967,-116.5067,26,266
BLI-SAN,BLI,SAN,18,16,18,18,16,18,18,18,16,18,48.7927,-122.5375,32.73356,-117.1896,27,174
BLI-SEA,BLI,SEA,274,222,274,293,300,290,300,300,280,290,48.7927,-122.5375,47.44989,-122.3117,28,2823
BNA-SEA,BNA,SEA,116,103,122,118,120,194,246,233,170,117,36.12448,-86.67817,47.44989,-122.3117,29,1539
BOI-AZA,BOI,AZA,18,16,18,18,16,18,18,18,16,18,43.56437,-116.2228,33.30777,-111.6555,30,174
BOI-DAL,BOI,DAL,0,0,0,0,0,8,8,2,0,0,43.56437,-116.2228,32.84595,-96.85088,31,18
BOI-DEN,BOI,DEN,369,336,375,387,396,438,459,446,398,430,43.56437,-116.2228,39.86167,-104.6731,32,4034
BOI-DFW,BOI,DFW,62,56,62,60,62,108,120,102,60,62,43.56437,-116.2228,32.89724,-97.0377,33,754
BOI-GEG,BOI,GEG,245,211,255,258,264,256,262,262,240,240,43.56437,-116.2228,47.61903,-117.5352,34,2493
BOI-IAH,BOI,IAH,62,56,62,60,62,60,62,62,60,62,43.56437,-116.2228,29.98444,-95.34145,35,608
BOI-LAS,BOI,LAS,141,127,142,132,133,136,140,142,136,140,43.56437,-116.2228,36.08006,-115.1522,36,1369
BOI-LAX,BOI,LAX,158,128,142,138,140,139,142,142,138,186,43.56437,-116.2228,33.9425,-118.408,37,1453
BOI-LWS,BOI,LWS,62,56,62,60,60,51,53,43,0,0,43.56437,-116.2228,46.37451,-117.0154,38,447
BOI-MDW,BOI,MDW,0,0,0,0,0,48,62,18,10,0,43.56437,-116.2228,41.78598,-87.75242,39,138
BOI-MSP,BOI,MSP,92,96,114,112,116,158,168,166,114,114,43.56437,-116.2228,44.88198,-93.22179,40,1250
BOI-OAK,BOI,OAK,126,110,124,120,124,120,122,124,116,122,43.56437,-116.2228,37.72125,-122.2211,41,1208
BOI-ORD,BOI,ORD,140,140,186,166,182,180,186,186,180,185,43.56437,-116.2228,41.97453,-87.9066,42,1731
BOI-PDX,BOI,PDX,422,384,412,396,415,418,432,434,403,422,43.56437,-116.2228,45.58871,-122.5968,43,4138
BOI-PHX,BOI,PHX,260,252,308,298,308,300,306,266,180,186,43.56437,-116.2228,33.43428,-112.0115,44,2664
BOI-RNO,BOI,RNO,62,56,56,52,54,50,54,54,48,52,43.56437,-116.2228,39.49912,-119.7681,45,538
BOI-SAN,BOI,SAN,124,112,124,120,124,120,124,124,120,127,43.56437,-116.2228,32.73356,-117.1896,46,1219
BOI-SEA,BOI,SEA,755,640,753,754,808,768,907,897,750,776,43.56437,-116.2228,47.44989,-122.3117,47,7808
BOI-SFO,BOI,SFO,294,272,309,289,310,300,302,310,296,303,43.56437,-116.2228,37.61881,-122.3754,48,2985
BOI-SJC,BOI,SJC,62,56,62,106,124,120,124,124,120,124,43.56437,-116.2228,37.363,-121.9286,49,1022
BOI-SLC,BOI,SLC,394,352,410,404,404,400,392,416,366,394,43.56437,-116.2228,40.7884,-111.9777,50,3932
BOI-SMF,BOI,SMF,124,112,124,120,124,120,124,124,118,133,43.56437,-116.2228,38.69545,-121.5907,51,1223
BOS-PDX,BOS,PDX,46,40,56,60,114,205,240,227,157,134,42.36295,-71.00639,45.58871,-122.5968,52,1279
BOS-SEA,BOS,SEA,268,248,320,390,450,488,538,522,436,404,42.36295,-71.00639,47.44989,-122.3117,53,4064
BUR-PDX,BUR,PDX,190,218,228,215,205,205,240,247,240,246,34.2007,-118.3586,45.58871,-122.5968,54,2234
BUR-SEA,BUR,SEA,186,168,186,180,186,200,240,238,228,236,34.2007,-118.3586,47.44989,-122.3117,55,2048
BWI-PDX,BWI,PDX,0,0,0,0,0,104,124,62,0,0,39.17574,-76.66899,45.58871,-122.5968,56,290
BWI-SEA,BWI,SEA,138,114,172,180,186,180,185,186,129,108,39.17574,-76.66899,47.44989,-122.3117,57,1578
BZN-PDX,BZN,PDX,4,0,0,2,86,108,124,112,60,60,45.77724,-111.1502,45.58871,-122.5968,58,556
BZN-SEA,BZN,SEA,192,168,192,176,148,182,204,194,180,186,45.77724,-111.1502,47.44989,-122.3117,59,1822
CHS-SEA,CHS,SEA,36,32,40,44,44,42,44,46,40,44,32.89865,-80.04053,47.44989,-122.3117,60,412
CLE-PDX,CLE,PDX,0,0,0,20,28,24,28,8,0,0,41.40942,-81.8547,45.58871,-122.5968,61,108
CLE-SEA,CLE,SEA,0,0,0,26,34,36,34,14,0,0,41.40942,-81.8547,47.44989,-122.3117,62,144
CLT-PDX,CLT,PDX,76,56,62,60,60,60,116,86,82,86,35.21376,-80.94906,45.58871,-122.5968,63,744
CLT-SEA,CLT,SEA,160,152,131,104,176,227,242,243,227,182,35.21376,-80.94906,47.44989,-122.3117,64,1844
COS-SEA,COS,SEA,0,0,0,20,28,24,28,8,0,0,38.80581,-104.7007,47.44989,-122.3117,65,108
CVG-SEA,CVG,SEA,0,0,43,43,44,50,62,62,42,31,39.04884,-84.66783,47.44989,-122.3117,66,377
DAL-BOI,DAL,BOI,0,0,0,0,0,8,8,2,0,0,32.84595,-96.85088,43.56437,-116.2228,67,18
DAL-PDX,DAL,PDX,130,121,127,120,124,120,124,125,118,132,32.84595,-96.85088,45.58871,-122.5968,68,1241
DAL-SEA,DAL,SEA,186,168,186,180,186,180,186,184,180,183,32.84595,-96.85088,47.44989,-122.3117,69,1819
DCA-PDX,DCA,PDX,62,56,62,60,62,60,62,62,60,62,38.85145,-77.03772,45.58871,-122.5968,70,608
DCA-SEA,DCA,SEA,124,112,124,120,121,120,124,124,118,124,38.85145,-77.03772,47.44989,-122.3117,71,1211
DEN-BLI,DEN,BLI,0,0,0,0,8,18,18,12,0,0,39.86167,-104.6731,48.7927,-122.5375,72,56
DEN-BOI,DEN,BOI,369,336,375,387,396,438,459,446,398,430,39.86167,-104.6731,43.56437,-116.2228,73,4034
